t,x,y,z
0.486517,0.020813,-0.028061,-0.994980
0.486652,0.020798,-0.027954,-0.995224
0.486699,0.020828,-0.027786,-0.995346
0.486741,0.020889,-0.027542,-0.995361
0.486780,0.021027,-0.027267,-0.995300
0.486954,0.021225,-0.026978,-0.995193
0.486997,0.021469,-0.026672,-0.995026
0.487030,0.021759,-0.026398,-0.994843
0.496176,0.022079,-0.026169,-0.994629
0.496284,0.022385,-0.025955,-0.994431
0.496313,0.022690,-0.025772,-0.994263
0.496343,0.022980,-0.025620,-0.994156
0.496376,0.023300,-0.025543,-0.994110
0.496402,0.023636,-0.025528,-0.994156
0.496426,0.024002,-0.025574,-0.994293
0.496452,0.024384,-0.025650,-0.994507
0.506230,0.024704,-0.025772,-0.994781
0.506393,0.024948,-0.025879,-0.995087
0.506713,0.025070,-0.025940,-0.995407
0.506781,0.025101,-0.025909,-0.995667
0.506836,0.025040,-0.025757,-0.995804
0.506898,0.024933,-0.025482,-0.995804
0.506950,0.024887,-0.025116,-0.995697
0.507015,0.024948,-0.024719,-0.995544
0.516254,0.025177,-0.024338,-0.995377
0.516381,0.025558,-0.024017,-0.995224
0.516417,0.025986,-0.023819,-0.995117
0.516449,0.026367,-0.023804,-0.995056
0.516480,0.026566,-0.023987,-0.995041
0.516645,0.026535,-0.024399,-0.995026
0.516667,0.026230,-0.025040,-0.994949
0.516679,0.025635,-0.025848,-0.994720
0.528667,0.024796,-0.026749,-0.994324
0.528803,0.023788,-0.027649,-0.993759
0.528833,0.022690,-0.028473,-0.993057
0.528860,0.021606,-0.029160,-0.992279
0.528890,0.020599,-0.029694,-0.991547
0.528916,0.019714,-0.030060,-0.990952
0.528941,0.018982,-0.030304,-0.990524
0.528964,0.018433,-0.030426,-0.990295
0.536166,0.018082,-0.030441,-0.990280
0.536274,0.017929,-0.030334,-0.990433
0.536310,0.017944,-0.030121,-0.990723
0.536350,0.018112,-0.029785,-0.991104
0.536382,0.018341,-0.029312,-0.991531
0.536414,0.018616,-0.028763,-0.991959
0.536444,0.018875,-0.028152,-0.992371
0.536475,0.019119,-0.027466,-0.992722
0.546161,0.019318,-0.026733,-0.993057
0.546259,0.019501,-0.025986,-0.993378
0.546288,0.019638,-0.025253,-0.993683
0.546322,0.019745,-0.024597,-0.993973
0.546349,0.019852,-0.024063,-0.994217
0.546374,0.019928,-0.023682,-0.994431
0.546407,0.019989,-0.023499,-0.994614
0.546433,0.020050,-0.023529,-0.994766
0.556267,0.020157,-0.023788,-0.994904
0.556370,0.020325,-0.024231,-0.995041
0.556401,0.020569,-0.024826,-0.995178
0.556429,0.020920,-0.025558,-0.995331
0.556456,0.021362,-0.026367,-0.995483
0.556482,0.021851,-0.027206,-0.995605
0.556508,0.022385,-0.028015,-0.995682
0.556531,0.022903,-0.028732,-0.995712
0.566269,0.023422,-0.029327,-0.995728
0.566394,0.023941,-0.029739,-0.995758
0.566424,0.024475,-0.029922,-0.995834
0.566450,0.024994,-0.029861,-0.996002
0.566484,0.025482,-0.029633,-0.996246
0.566509,0.025894,-0.029297,-0.996490
0.566535,0.026184,-0.028992,-0.996674
0.566563,0.026337,-0.028854,-0.996735
0.577852,0.026367,-0.028961,-0.996628
0.577968,0.026260,-0.029388,-0.996353
0.577999,0.026047,-0.030106,-0.995941
0.578027,0.025711,-0.031036,-0.995392
0.578052,0.025269,-0.032089,-0.994736
0.578077,0.024750,-0.033173,-0.994019
0.578101,0.024155,-0.034286,-0.993225
0.578125,0.023560,-0.035385,-0.992432
0.586160,0.023026,-0.036423,-0.991699
0.586434,0.022598,-0.037277,-0.991104
0.586507,0.022308,-0.037735,-0.990738
0.586549,0.022156,-0.037613,-0.990677
0.586586,0.022125,-0.036758,-0.990936
0.586634,0.022171,-0.035095,-0.991486
0.586671,0.022232,-0.032669,-0.992264
0.586717,0.022232,-0.029587,-0.993149
0.597995,0.022171,-0.026093,-0.994034
0.598107,0.022049,-0.022446,-0.994812
0.598144,0.021851,-0.018921,-0.995392
0.598174,0.021561,-0.015793,-0.995712
0.598202,0.021179,-0.013260,-0.995712
0.598231,0.020660,-0.011429,-0.995407
0.598269,0.020004,-0.010330,-0.994858
0.598300,0.019180,-0.009903,-0.994171
0.606110,0.018234,-0.010056,-0.993454
0.606168,0.017212,-0.010773,-0.992813
0.606182,0.016220,-0.011978,-0.992325
0.606193,0.015366,-0.013641,-0.992050
0.606203,0.014755,-0.015717,-0.992035
0.606212,0.014496,-0.018112,-0.992249
0.606223,0.014572,-0.020767,-0.992645
0.606236,0.014969,-0.023560,-0.993164
0.616170,0.015656,-0.026352,-0.993729
0.616267,0.016541,-0.028992,-0.994308
0.616284,0.017578,-0.031311,-0.994888
0.616295,0.018707,-0.033173,-0.995483
0.616306,0.019852,-0.034546,-0.996094
0.616315,0.020996,-0.035431,-0.996735
0.616325,0.022079,-0.035873,-0.997375
0.616334,0.023102,-0.035950,-0.997955
0.626116,0.024048,-0.035767,-0.998428
0.626169,0.024887,-0.035400,-0.998749
0.626184,0.025635,-0.034927,-0.998856
0.626196,0.026230,-0.034378,-0.998764
0.626206,0.026657,-0.033813,-0.998398
0.626217,0.026901,-0.033234,-0.997772
0.626227,0.026947,-0.032639,-0.996887
0.626236,0.026810,-0.032043,-0.995789
0.636154,0.026489,-0.031509,-0.994522
0.636198,0.026047,-0.031052,-0.993179
0.636211,0.025513,-0.030762,-0.991806
0.636221,0.024963,-0.030716,-0.990494
0.636231,0.024506,-0.031036,-0.989288
0.636241,0.024185,-0.031799,-0.988297
0.636250,0.024048,-0.032959,-0.987579
0.636259,0.024139,-0.034302,-0.987244
0.646137,0.024414,-0.035583,-0.987320
0.646188,0.024826,-0.036499,-0.987839
0.646202,0.025299,-0.036774,-0.988770
0.646212,0.025757,-0.036255,-0.990021
0.646223,0.026093,-0.034897,-0.991486
0.646232,0.026276,-0.032791,-0.993011
0.646241,0.026230,-0.030136,-0.994446
0.646251,0.025955,-0.027237,-0.995651
0.656060,0.025467,-0.024414,-0.996521
0.656112,0.024796,-0.022064,-0.996994
0.656124,0.024017,-0.020477,-0.997009
0.656134,0.023193,-0.019806,-0.996582
0.656143,0.022354,-0.020004,-0.995789
0.656152,0.021530,-0.020874,-0.994751
0.656161,0.020737,-0.022141,-0.993622
0.656170,0.020004,-0.023453,-0.992630
0.666010,0.019348,-0.024582,-0.991882
0.666050,0.018829,-0.025299,-0.991455
0.666063,0.018478,-0.025543,-0.991394
0.666073,0.018311,-0.025314,-0.991653
0.666082,0.018311,-0.024765,-0.992142
0.666092,0.018433,-0.024048,-0.992783
0.666101,0.018570,-0.023331,-0.993439
0.666111,0.018677,-0.022720,-0.994049
0.676065,0.018723,-0.022232,-0.994522
0.676119,0.018738,-0.021866,-0.994873
0.676132,0.018768,-0.021545,-0.995117
0.676144,0.018845,-0.021240,-0.995316
0.676168,0.019012,-0.020935,-0.995560
0.676179,0.019302,-0.020691,-0.995880
0.676189,0.019730,-0.020569,-0.996277
0.676198,0.020233,-0.020660,-0.996704
0.685999,0.020752,-0.021042,-0.997131
0.686046,0.021225,-0.021774,-0.997482
0.686058,0.021606,-0.022858,-0.997650
0.686068,0.021866,-0.024261,-0.997620
0.686078,0.022003,-0.025940,-0.997360
0.686088,0.022018,-0.027740,-0.996918
0.686097,0.021973,-0.029541,-0.996368
0.686107,0.021927,-0.031158,-0.995789
0.696021,0.021927,-0.032471,-0.995270
0.696073,0.021988,-0.033371,-0.994873
0.696090,0.022156,-0.033859,-0.994598
0.696101,0.022430,-0.034042,-0.994476
0.696112,0.022827,-0.034119,-0.994446
0.696122,0.023376,-0.034332,-0.994461
0.696132,0.024109,-0.034897,-0.994522
0.696142,0.024994,-0.035858,-0.994629
0.706014,0.026016,-0.037125,-0.994781
0.706070,0.027084,-0.038452,-0.994995
0.706086,0.028107,-0.039581,-0.995316
0.706097,0.028976,-0.040283,-0.995682
0.706107,0.029617,-0.040482,-0.996048
0.706117,0.029999,-0.040207,-0.996353
0.706126,0.030136,-0.039520,-0.996567
0.706135,0.030014,-0.038498,-0.996643
0.715986,0.029678,-0.037231,-0.996597
0.716013,0.029144,-0.035751,-0.996414
0.716027,0.028412,-0.034180,-0.996078
0.716037,0.027527,-0.032593,-0.995621
0.716046,0.026520,-0.031052,-0.995056
0.716055,0.025497,-0.029526,-0.994446
0.716064,0.024521,-0.028015,-0.993866
0.716074,0.023651,-0.026443,-0.993378
0.725971,0.022903,-0.024857,-0.992996
0.726013,0.022263,-0.023315,-0.992767
0.726026,0.021713,-0.021851,-0.992661
0.726037,0.021210,-0.020493,-0.992615
0.726047,0.020721,-0.019241,-0.992630
0.726057,0.020172,-0.018021,-0.992676
0.726066,0.019547,-0.016800,-0.992767
0.726076,0.018829,-0.015564,-0.992844
0.735965,0.018005,-0.014297,-0.992905
0.735994,0.017105,-0.013077,-0.992905
0.736007,0.016159,-0.011963,-0.992813
0.736017,0.015198,-0.011002,-0.992630
0.736027,0.014267,-0.010300,-0.992401
0.736036,0.013428,-0.009903,-0.992142
0.736046,0.012726,-0.009872,-0.991928
0.736055,0.012207,-0.010300,-0.991776
0.745936,0.011917,-0.011185,-0.991699
0.745975,0.011902,-0.012512,-0.991730
0.745989,0.012192,-0.014206,-0.991867
0.746000,0.012833,-0.016190,-0.992126
0.746010,0.013794,-0.018372,-0.992554
0.746019,0.015076,-0.020691,-0.993134
0.746029,0.016586,-0.023041,-0.993851
0.746038,0.018250,-0.025330,-0.994675
0.756000,0.019943,-0.027451,-0.995590
0.756078,0.021606,-0.029327,-0.996567
0.756094,0.023102,-0.030838,-0.997574
0.756107,0.024384,-0.031952,-0.998535
0.756121,0.025375,-0.032623,-0.999359
0.756134,0.026077,-0.032852,-1.000000
0.756148,0.026505,-0.032684,-1.000351
0.756163,0.026657,-0.032181,-1.000397
0.765922,0.026627,-0.031387,-1.000122
0.765983,0.026428,-0.030396,-0.999573
0.765996,0.026138,-0.029251,-0.998749
0.766006,0.025742,-0.028030,-0.997726
0.766016,0.025284,-0.026779,-0.996567
0.766026,0.024750,-0.025574,-0.995361
0.766035,0.024185,-0.024460,-0.994141
0.766044,0.023590,-0.023468,-0.992966
0.775959,0.022995,-0.022629,-0.991913
0.776019,0.022415,-0.022003,-0.990997
0.776032,0.021866,-0.021576,-0.990234
0.776044,0.021347,-0.021393,-0.989639
0.776055,0.020905,-0.021439,-0.989212
0.776064,0.020554,-0.021713,-0.988983
0.776074,0.020294,-0.022186,-0.988937
0.776084,0.020157,-0.022812,-0.989075
0.785916,0.020126,-0.023575,-0.989349
0.785948,0.020218,-0.024399,-0.989761
0.785962,0.020416,-0.025238,-0.990265
0.785974,0.020752,-0.026062,-0.990860
0.785987,0.021164,-0.026810,-0.991547
0.785998,0.021637,-0.027466,-0.992310
0.786010,0.022125,-0.027985,-0.993103
